10,1st,singular,sono,11
11,2nd,singular,sei,11
12,3rd,singular,e,11
13,1st,plural,siamo,11
14,2nd,plural,siete,11
15,3rd,plural,hanno,11
16,1st,singular,so,12
17,2nd,singular,sai,12
18,3rd,singular,sa,12
19,1st,plural,sappiamo,12
21,3rd,plural,sanno,12
22,2nd,plural,sapete,12
23,1st,singular,ho,13
24,2nd,singular,hai,13
25,3rd,singular,ha,13
26,1st,plural,abbiamo,13
27,2nd,plural,avete,13
28,3rd,plural,hanno,13
29,1st,singular,faccio/fo,15
30,2nd,singular,fai,15
31,3rd,singular,fa,15
32,1st,plural,facciamo,15
33,2nd,plural,fate,15
34,3rd,plural,fanno,15
35,1st,singular,vado,16
36,2nd,singular,vai,16
37,3rd,singular,va,16
39,1st,plural,andiamo,16
40,2nd,plural,andate,16
41,3rd,plural,vanno,16
42,1st,singular,posso,17
43,2nd,singular,puoi,17
44,3rd,singular,puo,17
45,1st,plural,possiamo,17
46,2nd,plural,potete,17
47,3rd,plural,possono,17
48,1st,singular,do,18
49,2nd,singular,dai,18
50,3rd,singular,da,18
51,1st,plural,diamo,18
52,2nd,plural,date,18
53,3rd,plural,danno,18
54,1st,singular,voglio,19
55,2nd,singular,vuoi,19
56,3rd,singular,vuole,19
57,1st,plural,vogliamo,19
58,2nd,plural,volete,19
59,3rd,plural,vogliono,19
60,1st,singular,vengo,20
61,2nd,singular,vieni,20
62,3rd,singular,viene,20
63,1st,plural,veniamo,20
64,2nd,plural,venite,20
65,3rd,plural,vengono,20
66,1st,singular,sto,21
67,2nd,singular,stai,21
68,3rd,singular,sta,21
69,1st,plural,stiamo,21
70,2nd,plural,state,21
71,3rd,plural,stanno,21
72,1st,singular,devo,23
73,2nd,singular,devi,23
74,3rd,singular,deve,23
75,1st,plural,dobbiamo,23
76,2nd,plural,dovete,23
77,3rd,plural,devono,23
